hour_sin,hour_cos,day_sin,day_cos,is_weekend,solar_actual_kw,solar_forecast_t+1_kw,solar_forecast_t+4_kw,load_p1_kw,load_p2_kw,load_p3_kw,load_p1_forecast_t+1_kw,load_p2_forecast_t+1_kw,load_p3_forecast_t+1_kw,load_p1_forecast_t+4_kw,load_p2_forecast_t+4_kw,load_p3_forecast_t+4_kw,battery_soc,battery_capacity_kwh,battery_max_charge_kw,battery_max_discharge_kw,grid_status,blackout_probability,blackout_type,expected_outage_duration_min,maintenance_active,is_islanded,available_island_power_kw
0.0,1.0,0.0,1.0,0,0.0,0.0,1.0831805835671544,1.9976087651374588,1.498206573853094,1.498206573853094,1.7956070505332569,1.3925356219274412,1.2720961129167807,2.0312159857944643,1.614631132795702,1.764531111731101,0.6066252686280713,20.0,5.0,5.0,1,0.17713034481500972,0,0,0,0,5.0
0.25881904510252074,0.9659258262890683,0.0,1.0,0,0.5853270762734155,0.15407026221265457,0.3254045089440716,1.8,1.3499999999999999,1.3499999999999999,1.6205690063878995,1.4475030986873036,1.6212480057141645,1.7819974696049166,1.5507065795784047,1.4584908075142902,0.6133888936679377,20.0,5.0,5.0,1,0.05209435903174865,0,0,0,0,5.5853270762734155
0.49999999999999994,0.8660254037844387,0.0,1.0,0,0.0,0.0,0.0,2.5982494111583634,1.9486870583687725,1.9486870583687725,2.7337792847522397,1.9509670980962306,1.8418037676340715,2.2244859434547792,1.7908353926291884,2.171800443500141,0.6316969360219792,20.0,5.0,5.0,1,0.12054595525579712,0,0,0,0,5.0
0.7071067811865476,0.7071067811865476,0.0,1.0,0,0.19725066579581066,0.0,0.9158250721545091,2.238992065321639,1.6792440489912288,1.6792440489912288,2.384288813901572,1.5949976777259465,1.6137116196716752,2.1409650270385994,1.386541059364805,1.7680801321106017,0.6386072948997545,20.0,5.0,5.0,1,0.29933287282669463,0,0,0,0,5.197250665795811
0.8660254037844386,0.5000000000000001,0.0,1.0,0,0.2717617959201057,0.12230697840414687,0.5726761580527626,1.8,1.3499999999999999,1.3499999999999999,1.6585414787299106,1.518475048639115,1.3462898390976719,1.3816238445024442,1.1354936331128682,1.0522241461790427,0.6347600756041321,20.0,5.0,5.0,1,0.14953471037842953,0,0,0,0,5.2717617959201055
0.9659258262890683,0.25881904510252074,0.0,1.0,0,0.18092840540016747,0.14968781266544848,0.0,2.6363752660850914,1.9772814495638185,1.9772814495638185,2.7491652209881074,2.072205283208984,1.7954039586048707,2.9870738438191164,1.6969112370053623,2.1533385777038996,0.6532233277709711,20.0,5.0,5.0,1,0.3886244998996676,0,0,0,0,5.180928405400167
1.0,6.123233995736766e-17,0.0,1.0,0,1.023962972207077,1.8101934462789184,1.0367650562432693,2.8404103449151528,2.130307758686364,2.130307758686364,2.9377733548095186,1.9835629342853274,2.237574965162777,2.6117376120998332,2.2544174018787113,2.082026545627445,0.6694936721183645,20.0,5.0,5.0,1,0.12007928213281838,0,0,0,0,6.023962972207077
0.9659258262890683,-0.25881904510252063,0.0,1.0,0,2.041476385092701,2.246190326236418,3.8714762410881,2.3684716485782524,1.7763537364336892,1.7763537364336892,2.396166727358098,1.8075396717435,1.9327183107891512,2.059233970858732,1.512262413816834,1.9329362061187585,0.6938350880579667,20.0,5.0,5.0,1,0.1301258030001437,0,0,0,0,7.041476385092701
0.8660254037844387,-0.4999999999999998,0.0,1.0,0,5.506310848221337,6.268972137540311,5.7510770650093965,2.516910418615008,1.8876828139612558,1.8876828139612558,2.674312527463138,2.04669549334296,2.034583026937265,2.2782861031246533,1.7374469290284702,1.5485543980250966,0.6889273257379093,20.0,5.0,5.0,1,0.14779153491005714,0,0,0,0,10.506310848221336
0.7071067811865476,-0.7071067811865475,0.0,1.0,0,7.142845817743476,6.342282831080505,6.000711418791862,2.950016628134159,2.212512471100619,2.212512471100619,3.0011894243566557,2.2457153670202215,2.377949120907824,2.953267101103636,2.5032192865320826,2.1331154211292325,0.7084709257541707,20.0,5.0,5.0,1,0.48655159574623863,0,0,0,0,12.142845817743476
