hour,solar_actual_kw,solar_forecast_kw,load_kw,battery_soc
0,0.54998868897616,1.2181478844100555,4.688761847062631,42.29474658662711
1,0.0,0.0,4.965831705494805,46.69975995875701
2,0.7288264482961067,0.5391209394181842,4.977574486682009,51.104773330886914
3,1.7657181032181737,1.3197859396581295,4.678714499806022,59.91480007514673
4,0.0,1.4958514531528753,4.911970680682191,51.104773330886914
5,0.0,0.0,5.325167712631083,55.50978670301682
6,1.832270018705964,2.763783843048949,6.4604166072593,64.31981344727663
7,3.13663930521792,6.029161666043661,6.876558861309532,59.91480007514673
8,3.782994786782712,5.64745725923494,7.134926615522797,51.104773330886914
9,6.795031835034808,6.247935720090335,6.939209596322086,46.69975995875701
10,6.994730084708213,6.562511827269352,6.092397284712259,42.29474658662711
11,7.866621805909295,8.466038017509277,5.544542345583959,33.4847198423673
12,9.003243494873912,6.712742301820206,5.005600051081682,24.67469309810749
13,6.151915790215396,5.069050871335039,5.128954911618836,33.4847198423673
14,5.500411308498805,6.257819575733075,5.07000607271465,33.4847198423673
15,5.486276947923528,5.419568154542434,5.625382134353468,42.29474658662711
16,3.139357782837804,5.931454083481864,6.303084597082579,33.4847198423673
17,2.599813018398585,2.0042824576770326,6.823433341636098,42.29474658662711
18,0.0,0.0,7.504286082669656,37.8897332144972
19,0.0,0.0,7.452964826374067,46.69975995875701
20,1.6977469364050637,1.988448363169772,7.238271203984015,37.8897332144972
21,0.0,0.1343507508059072,6.86780475852735,37.8897332144972
22,0.0415934848210577,3.369256860233336,6.134269736004768,46.69975995875701
23,0.0,0.0,5.386393083738847,55.50978670301682
24,0.0,0.4220091762491864,4.723369937916301,51.104773330886914
25,0.0929966058193163,1.6195000643319757,4.95000661064914,46.69975995875701
26,0.0,0.2049699542905889,4.71932055988837,55.50978670301682
27,0.4066381838403008,1.4798025007490208,4.893004677317937,55.50978670301682
28,0.0,0.8769487890305121,5.053128834862209,59.91480007514673
29,0.0,1.4679663295443657,5.575658436826638,51.104773330886914
30,0.0,0.0,6.259493093490732,42.29474658662711
31,4.4230764532471385,5.650382371716667,6.940751428145462,37.8897332144972
32,4.325788336568985,4.29326248701423,7.208033850840755,42.29474658662711
33,4.903185233805681,5.279259971702628,6.972548181098252,46.69975995875701
34,8.52263785114733,7.967092180503446,6.273967543149423,46.69975995875701
35,6.977290182912771,9.225680987007197,5.592861089292818,37.8897332144972
36,8.969361482705304,6.174760895695517,5.0929234784837805,46.69975995875701
37,6.10210813768169,8.043291798727262,4.642645597494718,42.29474658662711
38,5.974974512511102,5.144804746578135,5.142421129576161,33.4847198423673
39,6.389297429126328,8.490669999156804,5.471538584346206,24.67469309810749
40,5.216532298523374,6.960060538334103,6.06864590569594,20.26967972597758
41,2.431942920561145,4.02671625955505,6.607433309935935,20.26967972597758
42,0.0,1.455839882426162,7.491763811399853,24.67469309810749
43,0.0,3.377572863285572,7.363852101256961,20.26967972597758
44,0.0,0.0,7.447912951337551,20.26967972597758
45,0.0,0.0,6.805515375141682,20.26967972597758
46,0.0,0.0,6.217645212394482,20.26967972597758
47,1.2138239750605109,2.744024964011574,5.686157048917888,20.26967972597758
48,0.3686379176977468,0.0,5.051408524727623,20.26967972597758
49,0.0,1.700421397456602,4.971739029110509,20.26967972597758
50,0.3454984026891123,0.293596119659413,4.951395952287084,20.26967972597758
51,0.0,0.0,5.0796046710702765,20.26967972597758
52,0.0,0.0,5.110245467257863,20.26967972597758
53,0.6861678876278035,0.0,5.560836559322248,20.26967972597758
54,1.182880144433709,0.0,6.1482987888975895,20.26967972597758
55,3.33359554443605,4.218036453897495,6.900194871566457,20.26967972597758
56,3.350561336421615,4.685427766692195,7.283785785208687,20.26967972597758
57,5.79390544653614,7.160318890820376,6.858896589842969,20.26967972597758
58,7.94568518290138,7.095949509360811,6.215879308319977,20.26967972597758
59,9.584612608159016,9.908841821773208,5.481533628027969,20.26967972597758
60,8.160112936273865,8.144702021141164,5.37018018326121,20.26967972597758
61,8.209100199804492,9.108556030346964,5.049745671439232,20.26967972597758
62,6.242767979608672,6.90216343419814,5.267632039891801,20.26967972597758
63,4.743210232317905,4.997089943143925,5.549017467789634,20.26967972597758
64,5.307145420050843,2.9315120716732976,6.220829427424216,20.26967972597758
65,3.8369847648169753,3.788909010793585,6.594447543936226,20.26967972597758
66,0.0,0.4974158556780912,7.407625959359145,20.26967972597758
67,1.150344362967616,0.518829690972495,7.525583587847885,20.26967972597758
68,0.3899809517442536,0.3617950438109396,7.562676181371597,20.26967972597758
69,0.0,0.0,6.936719459283453,20.26967972597758
70,0.3896961611046663,0.2921323512178526,6.121962043515681,20.26967972597758
71,1.7834944061316549,2.727492099416861,5.4745468794145244,20.26967972597758
72,0.0,3.1407465580548792,4.661254320619537,20.26967972597758
73,1.8150120191241432,0.7283871301136982,4.86416944311185,20.26967972597758
74,0.0,0.3172229292835316,4.7196184953447045,20.26967972597758
75,0.9351928153610652,0.0,5.11267459220928,20.26967972597758
76,0.0647146905787736,0.2873347576281881,4.964125062569931,20.26967972597758
77,0.0,0.0502979487062069,5.460445793307438,20.26967972597758
78,0.0702983465710334,1.5293001490197513,6.076561118472343,20.26967972597758
79,0.0,1.6509172659022937,6.665847019652435,20.26967972597758
80,4.087556411024788,4.468224816711205,7.186069814143732,20.26967972597758
81,6.587600647318849,6.483859481820998,6.752317226042226,20.26967972597758
82,9.309317636374956,10.820022558774196,6.366995325075433,20.26967972597758
83,7.821107388315079,8.054424391847402,5.568714452829264,20.26967972597758
84,7.776231343614292,9.797679477333489,4.908550172361391,20.26967972597758
85,7.840668184399194,5.649387563248105,4.932294329280905,24.67469309810749
86,8.643013906721178,10.97979862424814,5.185031575205394,29.07970647023739
87,6.554004880158377,5.779349228599557,5.736357755449559,20.26967972597758
88,3.720239136778087,2.4483793508700087,6.087631938114403,29.07970647023739
89,2.840044513453038,3.000161004473121,6.787944218398902,37.8897332144972
90,0.0765963668348308,0.0,7.182245370813033,33.4847198423673
91,1.1090176493282629,2.1680098994137262,7.765037273621282,37.8897332144972
92,0.0,0.0,7.089627947795354,37.8897332144972
93,0.0,0.7332339501084779,6.861337667662967,42.29474658662711
94,0.0,0.0,6.149959534142007,37.8897332144972
95,0.0,0.0520294810077284,5.605900716605413,29.07970647023739
96,0.3123738161860081,0.7769301454665847,4.864016036341292,29.07970647023739
97,0.2708373204393655,0.3560340025133715,4.924902690569248,33.4847198423673
98,0.0,2.476023227641502,4.811242277296678,37.8897332144972
99,0.0,1.1320429268884395,4.656072598371868,33.4847198423673
100,0.0,0.6214176298419454,5.306378341426738,37.8897332144972
101,0.0,0.0,5.461298947757666,33.4847198423673
102,0.0,0.8546105965909834,6.324246594973171,42.29474658662711
103,1.2834302485573796,3.226021006855674,6.814146866692493,51.104773330886914
104,4.160047466276167,3.397881016497424,7.228133834693713,51.104773330886914
105,6.647910066432258,6.429361512068766,6.848417553860954,51.104773330886914
106,9.798729121559177,5.658617120606648,6.153036995784413,55.50978670301682
107,8.648257069638388,6.939201528667171,5.675895248975422,51.104773330886914
108,9.04567978799632,6.198202229147272,4.823327621425997,55.50978670301682
109,8.353274277600011,8.461242105919315,4.994423170367282,59.91480007514673
110,5.291540669545653,5.1990649733371885,5.188825490589931,55.50978670301682
111,6.1378816141579495,6.066213985224606,5.61441578570498,51.104773330886914
112,4.422445693965063,3.986421944433557,6.07326281741989,46.69975995875701
113,5.1516239748922965,6.628080999657165,6.568924563277859,55.50978670301682
114,0.0,0.0,7.421451618056394,46.69975995875701
115,0.3188024841472812,0.5544934748353012,7.438410765215112,46.69975995875701
116,0.0,1.146178166411337,7.460581846054525,46.69975995875701
117,0.0,0.1095462621892711,6.872042559943358,42.29474658662711
118,1.3153412037890455,1.4833723153710023,6.145184876187297,42.29474658662711
119,0.8523099903696068,0.0602466722226782,5.762454524161794,51.104773330886914
120,0.8986248816750089,0.7593579420946086,4.933204160786292,46.69975995875701
121,0.0,1.3091483731078006,4.645595086751532,55.50978670301682
122,1.6232922504480534,0.0,4.565407172605766,55.50978670301682
123,0.0,0.1380930788834504,5.062544628343158,55.50978670301682
124,0.6567681372889953,0.1954633047089351,5.396740612385155,59.91480007514673
125,2.556321946654988,2.69521442248803,5.441919556916641,59.91480007514673
126,0.0,2.718656751897856,6.2386775102003424,64.31981344727663
127,1.5647988862991968,1.2459887587799932,6.720743721568628,64.31981344727663
128,4.472691941193787,6.6084206214950605,7.035140252253198,64.31981344727663
129,5.577913171202516,7.143422231572969,7.237650645860511,64.31981344727663
130,5.733733471680603,5.861816546484828,6.261778582316953,64.31981344727663
131,8.529533839287234,8.606737246929066,5.567312364407503,64.31981344727663
132,7.48933670313944,7.739691678849882,5.171125323374369,64.31981344727663
133,9.009314302020314,7.845644347084146,4.875213515803933,64.31981344727663
134,6.4814722585584175,7.373161453844039,5.235765821944243,64.31981344727663
135,8.010294357739001,7.176037973233493,5.813145883149813,64.31981344727663
136,3.4268410802462843,3.667795545235496,6.345932017021323,64.31981344727663
137,1.854110593863653,0.0,6.75831025247996,64.31981344727663
138,0.9252599652392436,0.0788258627592681,7.262276331877915,64.31981344727663
139,0.0,1.0642801545843097,7.684782169604202,64.31981344727663
140,0.2310417293390205,0.0,7.384571526632115,64.31981344727663
141,1.5099875328479704,2.2367363600510988,6.809847574644149,64.31981344727663
142,0.0,0.0,6.051322796868615,64.31981344727663
143,0.1803118026656149,1.844438116840335,5.6714618822924034,64.31981344727663
144,0.2694484535399164,2.287352572021316,4.788756099415079,64.31981344727663
145,0.887716207432308,1.4338960435740988,4.780118025059557,64.31981344727663
146,0.0,0.3293916196979891,4.809947043722669,64.31981344727663
147,0.0,0.4032905027347597,4.936688866402753,64.31981344727663
148,0.579871996274703,0.874066351976766,4.964736217612861,64.31981344727663
149,0.3133977426876284,2.240724369749919,5.401559142168934,64.31981344727663
150,0.2583255300938205,3.94292364128704,5.865223565935059,64.31981344727663
151,2.6479493876493523,1.09478913106111,6.892075273149839,64.31981344727663
152,3.552890133902869,2.366322936717632,7.377199201145169,64.31981344727663
153,6.454756571910657,8.331578480893842,6.986883786853557,64.31981344727663
154,7.924271658287816,6.386290367156216,6.203422679497778,64.31981344727663
155,7.609408158668383,5.778763581429596,5.408123066685561,64.31981344727663
156,10.386,11.611,5.10381673115833,64.31981344727663
157,9.016880192476233,8.588997090648835,4.95543238815015,64.31981344727663
158,6.165943764482989,5.900139819538763,5.23189003042353,64.31981344727663
159,6.95736398708568,6.30985180683752,5.5312494624469934,64.31981344727663
160,3.2038521932403885,4.184013257185925,6.206831362097174,64.31981344727663
161,3.1699082972682766,1.8607079494793044,6.767204364593356,64.31981344727663
162,1.334024941818036,3.9935421624928167,7.196424937667198,64.31981344727663
163,0.0,1.355509968450125,7.817295695823417,64.31981344727663
164,1.1027763829938668,1.3325945736323943,7.197768622724512,64.31981344727663
165,0.4505650014757569,0.0420915882213757,6.657343418872366,64.31981344727663
166,0.9353795674228604,1.3866963507328376,6.049907251916343,64.31981344727663
167,2.2084618174888506,3.852138655940584,5.486845778766771,64.31981344727663
168,0.0,3.84679402385005,4.882719957387965,64.31981344727663
169,0.0,2.365337272702883,4.834995757293986,64.31981344727663
170,0.0,1.702740605061473,4.743222394362331,64.31981344727663
171,0.0,0.4067775940666878,4.947999710256221,64.31981344727663
